host_is_superhost,host_identity_verified,accommodates,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,number_of_reviews,instant_bookable,calculated_host_listings_count,host_days_active,air_conditioning,bbq,balcony,bed_linen,breakfast,tv,cooking_basics,elevator,gym,child_friendly,hot_tub,pool,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,wheelchair_access,description_text_length,transit_text_length,distance_to_nearest_station,distance_to_city,sentiment_compound,host_response_time_unknown,host_response_time_within_a_day,host_response_rate_50-79%,host_response_rate_80-94%,host_acceptance_rate_50-69%,host_acceptance_rate_70-89%,host_acceptance_rate_unknown,neighbourhood_group_cleansed_central_region,neighbourhood_group_cleansed_east_region,neighbourhood_group_cleansed_north_region,neighbourhood_group_cleansed_north-east_region,neighbourhood_group_cleansed_west_region,room_type_entire_home/apt,room_type_private_room,room_type_shared_room,review_scores_rating_80-89/100,review_scores_rating_no_reviews,review_scores_accuracy_9/10,review_scores_cleanliness_0-8/10,review_scores_checkin_10/10,review_scores_communication_10/10,review_scores_location_9/10,review_scores_value_10/10,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,days_since_first_review_2-3_years,days_since_first_review_>4_years,days_since_last_review_>2_years,property_category_apartment,property_category_condo,property_category_hostel,property_category_svc_apt_hotel
0,0,1,1.0,1.0,84.0,0.0,0.0,1,14.0,180,30,1,0,2,3533.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,187,0,0.5708174258070354,15.961310545925993,0.9615,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0
0,0,2,1.0,1.0,80.0,0.0,0.0,2,20.0,90,30,18,0,1,3575.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,50,0.4492113157676044,5.366996901962937,0.9200588235294118,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0
0,0,1,1.0,1.0,70.0,0.0,0.0,1,14.0,6,30,20,0,2,3533.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,132,0,0.4781603949820194,15.93434001775417,0.9465210526315788,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0
0,1,6,2.0,3.0,167.0,279.0,56.0,4,28.0,90,30,20,1,8,3432.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,167,0,0.4746582821429512,15.870083387440266,0.6938875000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
0,1,3,1.0,1.0,95.0,139.0,28.0,1,21.0,90,30,24,1,8,3432.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,182,0,0.4599203039272065,16.144529813743027,0.8541238095238096,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,1,3,1.0,2.0,84.0,139.0,28.0,1,21.0,90,30,48,0,8,3432.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,178,64,0.5606922264724143,16.339094242730546,0.6190525,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,1,6,1.0,7.0,209.0,279.0,70.0,4,35.0,1,30,29,1,8,3432.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,156,13,0.25500887577884224,16.46950836759038,0.8022166666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,1,1,1.0,1.0,52.0,200.0,0.0,1,0.0,90,21,176,0,3,3224.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,171,131,0.3052928579916673,10.463263612766573,0.9322458333333338,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0
1,1,2,1.0,2.0,54.0,200.0,0.0,1,0.0,90,18,199,0,3,3224.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,172,133,0.3052928579916673,10.463263612766573,0.9268079268292676,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0
0,0,1,1.0,1.0,49.0,152.0,65.0,1,0.0,14,29,20,0,4,3133.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,179,6,0.6432892815325872,1.9926599137204488,0.8641222222222222,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1.0,0.0,41.0,250.0,65.0,1,0.0,14,29,12,0,4,3133.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,185,9,0.6551329437435861,1.796807307905265,0.9175555555555556,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
0,0,2,1.0,1.0,63.0,147.0,42.0,1,15.0,90,30,133,0,7,3107.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,175,0,0.14669152686102213,2.183622751616675,0.8339685950413223,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0
0,1,1,1.0,1.0,40.0,150.0,0.0,1,0.0,10,0,104,0,1,3096.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,179,0,0.2578272338998245,7.7806584881781395,0.7508913043478259,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,1,1.0,1.0,45.0,200.0,55.0,1,0.0,14,29,14,0,4,3133.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,188,9,0.5844622744032066,1.8506889751902444,0.8808692307692307,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0.0,1.0,41.0,150.0,65.0,1,0.0,14,29,10,0,4,3133.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,178,3,0.5739753934731877,1.838449117245805,0.8071666666666667,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0
0,1,1,1.0,1.0,49.0,139.0,28.0,1,14.0,90,30,58,1,8,3432.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,111,11,0.7993311894551137,16.265159687952426,0.6624372549019608,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
0,1,2,1.0,1.0,80.0,0.0,0.0,1,0.0,90,23,0,0,1,3049.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,114,0,0.5914182378291182,9.102622963032935,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,2,1.0,1.0,60.0,150.0,42.0,1,15.0,90,30,92,0,7,3107.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,193,0,0.1281486483740374,2.1459971290577133,0.8557261363636358,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0
0,0,2,1.0,1.0,60.0,150.0,42.0,1,15.0,90,30,165,0,7,3107.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,178,7,0.10841775323574714,2.19399787951145,0.8064448979591835,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,1,1.0,1.0,56.0,137.0,0.0,2,0.0,90,0,27,0,1,3016.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,174,0,0.849063872730822,1.741766045945125,0.8649481481481482,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0
0,1,3,1.0,2.0,105.0,139.0,28.0,1,21.0,90,30,18,0,8,3432.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,175,25,0.7569088721886753,16.19435106390944,0.8211714285714286,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,1,2,1.0,0.0,56.0,140.0,15.0,1,25.0,2,30,82,0,1,2966.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175,63,1.24665323535832,8.369223737236469,0.9007113924050633,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0
0,0,2,1.0,1.0,36.0,1300.0,0.0,1,0.0,180,30,0,0,1,2959.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,3,0.7029849707683175,13.398977328344467,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,1,1.0,1.0,56.0,279.0,25.0,1,14.0,2,30,29,0,3,3221.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,176,15,0.6635843060314429,13.074088654774101,0.7409444444444446,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0
0,1,2,2.0,1.0,278.0,1398.0,63.0,1,0.0,4,27,11,0,1,2894.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,174,36,0.32059495697340523,4.631407547796826,0.8514444444444443,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0
0,0,2,1.0,1.0,168.0,0.0,28.0,1,28.0,180,30,0,0,1,2874.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155,0,0.2674727473559755,3.4151199457429087,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,2,1.0,1.0,101.0,0.0,20.0,1,10.0,90,30,28,0,1,3174.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,174,35,0.2913936196225793,2.783938334117191,0.9265307692307692,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0
