index,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
0,EUNOS MRT STATION EXIT A,,NIL,EUNOS MRT STATION EXIT A,EUNOS MRT STATION EXIT A,NIL,35743.0776,33531.14163,1.319517275,103.9028941,103.9028941
1,EUNOS MRT STATION EXIT B,,NIL,EUNOS MRT STATION EXIT B,EUNOS MRT STATION EXIT B,NIL,35708.34817,33536.14644,1.319562546,103.9025821,103.9025821
2,EUNOS MRT STATION EXIT C,,NIL,EUNOS MRT STATION EXIT C,EUNOS MRT STATION EXIT C,NIL,35774.73652,33541.2482,1.319608667,103.90317859999999,103.90317859999999
3,EUNOS MRT STATION (EW7),30,EUNOS CRESCENT,EUNOS MRT STATION (EW7),30 EUNOS CRESCENT EUNOS MRT STATION SINGAPORE 409423,409423,35779.98898,33560.58575,1.319783548,103.90322579999999,103.90322579999999
4,UOB EUNOS MRT STATION,30,EUNOS CRESCENT,UOB EUNOS MRT STATION,30 EUNOS CRESCENT UOB EUNOS MRT STATION SINGAPORE 409423,409423,35767.07475,33561.22918,1.31978937,103.9031098,103.9031098
5,OCBC EUNOS MRT STATION,30,EUNOS CRESCENT,OCBC EUNOS MRT STATION,30 EUNOS CRESCENT OCBC EUNOS MRT STATION SINGAPORE 409423,409423,35763.899730000005,33560.70001,1.319784585,103.9030812,103.9030812
6,DBS EUNOS MRT STATION,30,EUNOS CRESCENT,DBS EUNOS MRT STATION,30 EUNOS CRESCENT DBS EUNOS MRT STATION SINGAPORE 409423,409423,35760.195569999996,33558.05416,1.3197606579999999,103.903048,103.903048
0,CHINESE GARDEN MRT STATION EXIT C,,NIL,CHINESE GARDEN MRT STATION EXIT C,CHINESE GARDEN MRT STATION EXIT C,NIL,16798.76465,36028.50938,1.342101479,103.7326688,103.7326688
1,CHINESE GARDEN MRT STATION EXIT B,,NIL,CHINESE GARDEN MRT STATION EXIT B,CHINESE GARDEN MRT STATION EXIT B,NIL,16770.49814,36043.19474,1.342234277,103.73241479999999,103.73241479999999
2,CHINESE GARDEN MRT STATION EXIT A,,NIL,CHINESE GARDEN MRT STATION EXIT A,CHINESE GARDEN MRT STATION EXIT A,NIL,16749.336069999998,36066.03662,1.342440843,103.7322246,103.7322246
